User ID,Date,Day,Show,Season,Episode,Time Watched,Gender,Completed,Time of Day
62565,2/9/2019,Saturday,Stranger Things,2,10,59,Female,1,1
108824,2/9/2019,Saturday,Stranger Things,1,4,40,Female,0,1
118833,2/9/2019,Saturday,Stranger Things,2,8,51,Male,1,1
97717,2/9/2019,Saturday,Stranger Things,2,6,10,Male,0,0
35588,2/9/2019,Saturday,Stranger Things,2,10,40,Female,1,1
52543,2/9/2019,Saturday,Stranger Things,1,2,9,Male,0,0
96712,2/9/2019,Saturday,Stranger Things,1,1,27,Female,0,1
15923,2/9/2019,Saturday,Stranger Things,1,2,26,Male,0,0
37140,2/9/2019,Saturday,Stranger Things,2,5,55,Female,1,0
40484,2/9/2019,Saturday,Stranger Things,2,1,8,,0,0
93201,2/9/2019,Saturday,Stranger Things,1,9,6,,0,0
53424,2/9/2019,Saturday,Stranger Things,2,3,56,,1,0
59937,2/9/2019,Saturday,Stranger Things,2,9,44,,1,0
90604,2/9/2019,Saturday,Stranger Things,,3,12,,0,1
51497,2/9/2019,Saturday,Stranger Things,1,8,46,,1,1
71031,2/9/2019,Saturday,Stranger Things,2,2,51,,1,0
94081,2/9/2019,Saturday,Stranger Things,1,4,1,,0,0
34108,2/9/2019,Saturday,Stranger Things,2,6,40,,1,1
43106,2/9/2019,Saturday,Stranger Things,1,7,46,,1,0
110207,2/9/2019,Saturday,Stranger Things,2,5,1,,0,0
110119,2/9/2019,Saturday,Stranger Things,2,7,24,,0,1
17309,2/9/2019,Saturday,Stranger Things,1,7,42,,1,0
84168,2/9/2019,Saturday,Stranger Things,1,4,6,,0,1
95312,2/9/2019,Saturday,Stranger Things,1,5,12,Male,0,0
22728,2/9/2019,Saturday,Stranger Things,2,8,9,Male,0,1
31889,2/9/2019,Saturday,Stranger Things,2,2,14,Male,0,0
11622,2/9/2019,Saturday,Stranger Things,1,6,40,Male,1,1
103218,2/9/2019,Saturday,Stranger Things,2,2,16,Male,0,0
62357,2/9/2019,Saturday,Stranger Things,1,8,58,Female,1,1
44626,2/9/2019,Saturday,Stranger Things,2,2,58,Male,1,1
11115,2/9/2019,Saturday,Stranger Things,2,6,5,Female,0,0
43174,2/9/2019,Saturday,Stranger Things,1,9,6,Male,0,0
57213,2/9/2019,Saturday,Stranger Things,1,4,59,Male,1,1
31291,2/9/2019,Saturday,Stranger Things,2,1,20,Female,0,0
111556,2/9/2019,Saturday,Stranger Things,2,8,47,Female,1,0
124465,2/9/2019,Saturday,Stranger Things,2,6,24,Female,0,1
104209,2/9/2019,Saturday,Stranger Things,2,9,50,Male,1,1
54268,2/9/2019,Saturday,Stranger Things,2,9,14,Female,0,1
32839,2/9/2019,Saturday,Stranger Things,1,3,29,Female,0,0
32189,2/9/2019,Saturday,Stranger Things,2,3,23,Female,0,0
108141,2/9/2019,Saturday,Stranger Things,1,3,30,Male,1,1
43379,2/9/2019,Saturday,Stranger Things,2,8,29,Female,0,0
17481,2/9/2019,Saturday,Stranger Things,2,6,28,Male,0,0
19652,2/9/2019,Saturday,Stranger Things,2,2,13,Male,0,1
119958,2/9/2019,Saturday,Stranger Things,1,4,60,Male,1,0
118685,2/9/2019,Saturday,Stranger Things,1,6,9,Male,0,1
52405,2/9/2019,Saturday,Stranger Things,1,3,53,Male,1,1
25959,2/9/2019,Saturday,Stranger Things,2,2,28,Female,0,1
90271,2/9/2019,Saturday,Stranger Things,2,2,8,Female,0,1
67392,2/9/2019,Saturday,Stranger Things,1,10,6,Male,0,1
52155,2/9/2019,Saturday,Stranger Things,1,1,19,Female,0,1
38671,2/9/2019,Saturday,Stranger Things,1,9,37,Female,1,1
21487,2/9/2019,Saturday,Stranger Things,2,8,10,Male,0,1
36094,2/9/2019,Saturday,Stranger Things,1,4,35,Male,1,1
45727,2/9/2019,Saturday,Stranger Things,2,7,57,Female,,0
13430,2/9/2019,Saturday,Stranger Things,1,5,19,Male,,1
25530,2/9/2019,Saturday,Stranger Things,1,2,55,Male,,0
13927,2/9/2019,Saturday,Stranger Things,1,9,4,Male,,0
99389,2/9/2019,Saturday,Stranger Things,1,6,41,Male,,1
77370,2/9/2019,Saturday,Stranger Things,2,5,23,Male,,0
117276,2/9/2019,Saturday,Stranger Things,2,1,50,Male,1,1
48660,2/9/2019,Saturday,Stranger Things,2,2,36,Female,1,0
28576,2/9/2019,Saturday,Stranger Things,2,10,4,Male,0,1
58753,2/9/2019,Saturday,Stranger Things,2,3,26,Male,0,0
26308,2/9/2019,Saturday,Stranger Things,2,4,53,Male,1,1
101588,2/9/2019,Saturday,Stranger Things,1,8,1,Male,0,0
104710,2/9/2019,Saturday,Stranger Things,2,7,17,Female,0,1
30502,2/9/2019,Saturday,Stranger Things,2,9,24,Female,0,1
91360,2/9/2019,Saturday,Stranger Things,1,5,38,Female,1,1
109994,2/9/2019,Saturday,Stranger Things,2,6,30,Female,1,1
94629,2/9/2019,Saturday,Stranger Things,2,7,60,Male,1,0
13104,2/9/2019,Saturday,Stranger Things,2,3,51,Male,1,0
124848,2/9/2019,Saturday,Stranger Things,1,8,41,Male,1,0
52000,2/9/2019,Saturday,Stranger Things,2,10,42,Female,1,1
2890,2/9/2019,Saturday,Stranger Things,2,10,60,Female,1,0
7442,2/9/2019,Saturday,Stranger Things,2,10,6,Male,0,1
98576,2/9/2019,Saturday,Stranger Things,2,9,37,Male,1,1
103999,2/9/2019,Saturday,Stranger Things,1,2,14,Male,0,1
98912,2/9/2019,Saturday,Stranger Things,1,6,47,Female,1,1
9697,2/9/2019,Saturday,Stranger Things,1,4,34,Female,1,1
64109,2/9/2019,Saturday,Stranger Things,2,10,24,Male,0,1
106637,2/9/2019,Saturday,Stranger Things,1,2,53,Female,1,0
20118,2/9/2019,Saturday,Stranger Things,1,3,47,Female,1,1
88433,2/9/2019,Saturday,Stranger Things,2,10,28,Female,0,1
29614,2/9/2019,Saturday,Stranger Things,1,9,51,Female,1,1
2520,2/9/2019,Saturday,Stranger Things,2,4,31,Male,1,0
32822,2/9/2019,Saturday,Stranger Things,2,5,35,Male,1,0
84881,2/9/2019,Saturday,Stranger Things,2,2,59,Male,1,1
57358,2/9/2019,Saturday,Stranger Things,1,9,28,Female,0,1
82967,2/9/2019,Saturday,Stranger Things,2,2,52,Female,1,1
87853,2/9/2019,Saturday,Stranger Things,2,3,33,Female,1,0
109662,2/9/2019,Saturday,Stranger Things,2,3,60,Male,1,1
74720,2/9/2019,Saturday,Stranger Things,1,9,23,Female,0,1
80118,2/9/2019,Saturday,Stranger Things,2,6,19,Female,0,0
71941,2/9/2019,Saturday,Stranger Things,1,8,4,Male,0,1
119271,2/9/2019,Saturday,Stranger Things,2,8,40,Male,1,1
117362,2/9/2019,Saturday,Stranger Things,1,9,8,Male,0,1
104993,2/9/2019,Saturday,Stranger Things,1,4,58,Female,1,1
105135,2/9/2019,Saturday,Stranger Things,1,4,49,Male,1,1
89100,2/9/2019,Saturday,Stranger Things,1,1,23,Female,0,1
115488,2/9/2019,Saturday,Stranger Things,2,10,29,Female,0,0
105825,2/9/2019,Saturday,Stranger Things,1,6,35,Female,1,1
71516,2/9/2019,Saturday,Stranger Things,1,5,29,Female,0,0
96227,2/9/2019,Saturday,Stranger Things,1,8,6,Male,0,0
76550,2/9/2019,Saturday,Stranger Things,1,2,58,Male,1,0
31469,2/9/2019,Saturday,Stranger Things,2,9,55,Male,1,0
37956,2/9/2019,Saturday,Stranger Things,2,8,58,Female,1,1
101558,2/9/2019,Saturday,Stranger Things,2,7,24,Male,0,0
97905,2/9/2019,Saturday,Stranger Things,1,9,13,Male,0,1
101482,2/9/2019,Saturday,Stranger Things,2,2,52,Female,1,0
118490,2/9/2019,Saturday,Stranger Things,2,7,39,Female,,1
15539,2/9/2019,Saturday,Stranger Things,2,1,11,Female,,0
55962,2/9/2019,Saturday,Stranger Things,2,6,19,Male,,1
17021,2/9/2019,Saturday,Stranger Things,2,3,6,Female,,0
244,2/9/2019,Saturday,Stranger Things,2,3,23,Female,,0
109399,2/9/2019,Saturday,Stranger Things,2,9,32,Male,,0
69877,2/9/2019,Saturday,Stranger Things,2,3,60,Female,1,0
56535,2/9/2019,Saturday,Stranger Things,2,7,36,Male,1,0
109562,2/9/2019,Saturday,Stranger Things,1,7,20,Male,0,0
115493,2/9/2019,Saturday,Stranger Things,2,7,22,Male,0,0
74122,2/9/2019,Saturday,Stranger Things,2,3,18,Female,0,1
5845,2/9/2019,Saturday,Stranger Things,2,7,54,Male,1,1
15819,2/9/2019,Saturday,Stranger Things,2,10,34,Male,1,1
97427,2/9/2019,Saturday,Stranger Things,2,2,20,Female,0,1
1487,2/9/2019,Saturday,Stranger Things,1,8,20,Male,0,0
28988,2/9/2019,Saturday,Stranger Things,2,5,14,Female,0,1
37566,2/9/2019,Saturday,Stranger Things,1,1,20,Male,0,1
80850,2/9/2019,Saturday,Stranger Things,2,2,2,Male,0,1
65597,2/9/2019,Saturday,Stranger Things,1,7,35,Male,1,0
15572,2/9/2019,Saturday,Stranger Things,2,5,34,Female,1,0
17027,2/9/2019,Saturday,Stranger Things,1,5,50,Female,1,1
106153,2/9/2019,Saturday,Stranger Things,2,2,8,Female,0,1
1020,2/9/2019,Saturday,Stranger Things,1,2,59,Female,1,0
36429,2/9/2019,Saturday,Stranger Things,1,6,24,Female,0,0
52087,2/9/2019,Saturday,Stranger Things,2,6,45,Male,1,1
81914,2/9/2019,Saturday,Stranger Things,2,4,3,Male,0,0
62786,2/9/2019,Saturday,Stranger Things,1,9,59,Male,1,1
102165,2/9/2019,Saturday,Stranger Things,1,8,53,Male,1,0
91855,2/9/2019,Saturday,Stranger Things,2,1,49,Male,1,0
122522,2/9/2019,Saturday,Stranger Things,1,7,11,Female,0,0
106247,2/9/2019,Saturday,Stranger Things,2,7,29,Male,0,0
56911,2/9/2019,Saturday,Stranger Things,2,3,48,Female,1,1
16316,2/9/2019,Saturday,Stranger Things,2,7,11,Male,0,0
15851,2/9/2019,Saturday,Stranger Things,2,10,34,Female,1,0
55819,2/9/2019,Saturday,Stranger Things,2,10,34,Female,1,0
75768,2/9/2019,Saturday,Stranger Things,1,8,13,Male,0,0
2596,2/9/2019,Saturday,Stranger Things,1,2,22,Female,0,0
30997,2/9/2019,Saturday,Stranger Things,1,7,42,Male,1,1
47421,2/9/2019,Saturday,Stranger Things,1,2,38,Male,1,0
67751,2/9/2019,Saturday,Stranger Things,2,9,25,Female,0,1
97613,2/9/2019,Saturday,Stranger Things,1,1,57,Male,1,0
15588,2/9/2019,Saturday,Stranger Things,1,6,15,Female,0,0
115590,2/9/2019,Saturday,Stranger Things,1,1,22,Female,0,0
62933,2/9/2019,Saturday,Stranger Things,1,8,42,Female,1,0
71749,2/9/2019,Saturday,Stranger Things,1,1,52,Female,1,1
85047,2/9/2019,Saturday,Stranger Things,2,1,3,Female,0,0
77263,2/9/2019,Saturday,Stranger Things,1,2,18,Female,0,1
85191,2/9/2019,Saturday,Stranger Things,1,2,17,Female,0,1
70131,2/9/2019,Saturday,Stranger Things,1,9,36,Male,1,1
115741,2/9/2019,Saturday,Stranger Things,2,1,28,Female,0,0
14050,2/9/2019,Saturday,Stranger Things,2,8,53,Female,1,1
41249,2/9/2019,Saturday,Stranger Things,2,3,10,Male,0,1
106898,2/9/2019,Saturday,Stranger Things,2,8,15,Male,0,0
117049,2/9/2019,Saturday,Stranger Things,2,5,51,Male,1,0
93349,2/9/2019,Saturday,Stranger Things,2,8,29,Female,0,0
11251,2/9/2019,Saturday,Stranger Things,2,7,22,Male,0,1
32773,2/9/2019,Saturday,Stranger Things,1,2,17,Male,0,0
49640,2/9/2019,Saturday,Stranger Things,1,9,23,Female,0,1
111074,2/9/2019,Saturday,Stranger Things,2,1,7,Male,0,0
114523,2/9/2019,Saturday,Stranger Things,2,7,54,Female,1,0
69066,2/9/2019,Saturday,Stranger Things,1,6,34,Female,1,0
84936,2/9/2019,Saturday,Stranger Things,1,5,3,Female,0,1
66444,2/9/2019,Saturday,Stranger Things,2,9,49,Male,1,0
21131,2/9/2019,Saturday,Stranger Things,2,3,19,Male,0,1
66843,2/9/2019,Saturday,Stranger Things,1,2,36,Female,1,1
101948,2/9/2019,Saturday,Stranger Things,1,2,8,Female,0,0
106146,2/9/2019,Saturday,Stranger Things,2,4,33,Female,1,0
113303,2/9/2019,Saturday,Stranger Things,1,1,16,Female,0,1
61989,2/9/2019,Saturday,Stranger Things,2,1,15,Male,0,1
106515,2/9/2019,Saturday,Stranger Things,1,5,23,Female,0,0
95093,2/9/2019,Saturday,Stranger Things,1,9,19,Male,0,1
22232,2/9/2019,Saturday,Stranger Things,2,9,10,Male,0,0
73121,2/9/2019,Saturday,Stranger Things,2,3,23,Male,0,1
8422,2/9/2019,Saturday,Stranger Things,1,3,44,Male,1,1
27175,2/9/2019,Saturday,Stranger Things,2,1,7,Male,0,1
91522,2/9/2019,Saturday,Stranger Things,1,4,5,Female,0,0
80217,2/9/2019,Saturday,Stranger Things,1,8,32,Female,1,0
20334,2/9/2019,Saturday,Stranger Things,1,2,36,Female,1,1
97981,2/9/2019,Saturday,Stranger Things,2,3,6,Male,0,1
